,scaled_input_P1,scaled_input_P5p1,scaled_input_P6p2,scaled_input_P11p4,scaled_input_P14p9,scaled_input_P15p1,scaled_input_P15p3,scaled_input_P16p2,scaled_input_P18p2,scaled_input_P27p4,scaled_input_H2p2,scaled_input_H8p2,scaled_input_H10p1,scaled_input_H13p1,scaled_input_H18pA,scaled_input_H40p4,scaled_input_target,origin_input_P1,origin_input_P5p1,origin_input_P6p2,origin_input_P11p4,origin_input_P14p9,origin_input_P15p1,origin_input_P15p3,origin_input_P16p2,origin_input_P18p2,origin_input_P27p4,origin_input_H2p2,origin_input_H8p2,origin_input_H10p1,origin_input_H13p1,origin_input_H18pA,origin_input_H40p4,origin_input_target,scaled_cf_P1,scaled_cf_P5p1,scaled_cf_P6p2,scaled_cf_P11p4,scaled_cf_P14p9,scaled_cf_P15p1,scaled_cf_P15p3,scaled_cf_P16p2,scaled_cf_P18p2,scaled_cf_P27p4,scaled_cf_H2p2,scaled_cf_H8p2,scaled_cf_H10p1,scaled_cf_H13p1,scaled_cf_H18pA,scaled_cf_H40p4,scaled_cf_target,origin_cf_P1,origin_cf_P5p1,origin_cf_P6p2,origin_cf_P11p4,origin_cf_P14p9,origin_cf_P15p1,origin_cf_P15p3,origin_cf_P16p2,origin_cf_P18p2,origin_cf_P27p4,origin_cf_H2p2,origin_cf_H8p2,origin_cf_H10p1,origin_cf_H13p1,origin_cf_H18pA,origin_cf_H40p4,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.0003497410741598566,0.3358780387689802,0.009357,0.22977924903671884,0.31709634812266296,0.7849751921570143,0.017860121361903264,0.5032774140697736,0.024388024388024385,0.10329330967251273,0.035849200058741856,0.010319,0.9952946747556791,0.341486,0.023861,0.6,1.0,2565.0,0.436647,0.009357,0.197271,0.15917,0.810916,0.015205,0.631332,0.0018759999999999998,0.040338,0.03442,0.010319,0.99531,0.341486,0.023861,0.6,1.0,0.0003497410741598566,0.3358780387689802,0.009357,0.22977924903671884,0.31709634812266296,0.7849751921570143,0.8,0.2087481,0.024388024388024385,0.10329330967251273,0.035849200058741856,0.010319,0.9952946747556791,0.341486,0.023861,0.6,N,2565.0,0.436647,0.009357,0.197271,0.15917,0.810916,0.6810704000000001,0.4127320485681,0.0018759999999999998,0.040338,0.03442,0.010319,0.99531,0.341486,0.023861,0.6,N,0.027345895767211914,Y,1.0,Y
0,0.0003497410741598566,0.3358780387689802,0.009357,0.22977924903671884,0.31709634812266296,0.7849751921570143,0.017860121361903264,0.5032774140697736,0.024388024388024385,0.10329330967251273,0.035849200058741856,0.010319,0.9952946747556791,0.341486,0.023861,0.6,1.0,2565.0,0.436647,0.009357,0.197271,0.15917,0.810916,0.015205,0.631332,0.0018759999999999998,0.040338,0.03442,0.010319,0.99531,0.341486,0.023861,0.6,1.0,0.0003497410741598566,0.3358780387689802,0.009357,0.22977924903671884,0.31709634812266296,0.7849751921570143,0.017860121361903264,0.5032774140697736,0.024388024388024385,0.10329330967251273,0.035849200058741856,0.0,0.9952946747556791,0.341486,0.7,0.6,N,2565.0,0.436647,0.009357,0.197271,0.15917,0.810916,0.015205,0.631332,0.0018759999999999998,0.040338,0.03442,0.0,0.99531,0.341486,0.7,0.6,N,0.02366471290588379,Y,1.0,Y
0,0.0003497410741598566,0.3358780387689802,0.009357,0.22977924903671884,0.31709634812266296,0.7849751921570143,0.017860121361903264,0.5032774140697736,0.024388024388024385,0.10329330967251273,0.035849200058741856,0.010319,0.9952946747556791,0.341486,0.023861,0.6,1.0,2565.0,0.436647,0.009357,0.197271,0.15917,0.810916,0.015205,0.631332,0.0018759999999999998,0.040338,0.03442,0.010319,0.99531,0.341486,0.023861,0.6,1.0,0.0003497410741598566,0.3358780387689802,0.009357,0.22977924903671884,0.31709634812266296,0.7849751921570143,0.017860121361903264,0.5032774140697736,0.8,0.10329330967251273,0.035849200058741856,0.010319,0.9952946747556791,0.341486,0.023861,0.6,N,2565.0,0.436647,0.009357,0.197271,0.15917,0.810916,0.015205,0.631332,0.06153840000000001,0.040338,0.03442,0.010319,0.99531,0.341486,0.023861,0.6,N,0.02277207374572754,Y,1.0,Y
0,0.0003497410741598566,0.3358780387689802,0.009357,0.22977924903671884,0.31709634812266296,0.7849751921570143,0.017860121361903264,0.5032774140697736,0.024388024388024385,0.10329330967251273,0.035849200058741856,0.010319,0.9952946747556791,0.341486,0.023861,0.6,1.0,2565.0,0.436647,0.009357,0.197271,0.15917,0.810916,0.015205,0.631332,0.0018759999999999998,0.040338,0.03442,0.010319,0.99531,0.341486,0.023861,0.6,1.0,0.0003497410741598566,0.3358780387689802,0.009357,0.22977924903671884,0.31709634812266296,0.7849751921570143,0.017860121361903264,0.5032774140697736,0.024388024388024385,0.10329330967251273,0.1,0.4,0.9952946747556791,0.341486,0.023861,0.6,N,2565.0,0.436647,0.009357,0.197271,0.15917,0.810916,0.015205,0.631332,0.0018759999999999998,0.040338,0.09601330000000001,0.4,0.99531,0.341486,0.023861,0.6,N,0.022325992584228516,Y,1.0,Y
0,0.0003497410741598566,0.3358780387689802,0.009357,0.22977924903671884,0.31709634812266296,0.7849751921570143,0.017860121361903264,0.5032774140697736,0.024388024388024385,0.10329330967251273,0.035849200058741856,0.010319,0.9952946747556791,0.341486,0.023861,0.6,1.0,2565.0,0.436647,0.009357,0.197271,0.15917,0.810916,0.015205,0.631332,0.0018759999999999998,0.040338,0.03442,0.010319,0.99531,0.341486,0.023861,0.6,1.0,0.0003497410741598566,0.3358780387689802,0.009357,0.22977924903671884,0.31709634812266296,0.7849751921570143,0.9,0.1452507,0.024388024388024385,0.10329330967251273,0.035849200058741856,0.010319,0.9952946747556791,0.341486,0.023861,0.6,N,2565.0,0.436647,0.009357,0.197271,0.15917,0.810916,0.7662042,0.36560421479070004,0.0018759999999999998,0.040338,0.03442,0.010319,0.99531,0.341486,0.023861,0.6,N,0.022574901580810547,Y,1.0,Y
0,0.006912063540619674,0.4062484030338647,0.02187,0.17332188733221202,0.19109253507742635,0.8681914894826801,0.019516337811773938,0.6905110610198586,0.06338806338806338,0.0875347934415483,0.17513719453450718,0.018297,0.8935392573612254,0.353081,0.136044,0.542948,1.0,50618.0,0.479335,0.02187,0.148801,0.095921,0.8840930000000001,0.016615,0.770297,0.004876,0.034184,0.168155,0.018297,0.893886,0.353081,0.136044,0.542948,1.0,0.006912063540619674,0.4062484030338647,0.02187,0.17332188733221202,0.19109253507742635,0.8681914894826801,0.019516337811773938,0.6905110610198586,0.06338806338806338,0.1,0.17513719453450718,0.018297,0.8935392573612254,0.353081,0.136044,0.542948,Y,50618.0,0.479335,0.02187,0.148801,0.095921,0.8840930000000001,0.016615,0.770297,0.004876,0.0390519,0.168155,0.018297,0.893886,0.353081,0.136044,0.542948,Y,0.022365808486938477,N,1.0,N
0,0.006912063540619674,0.4062484030338647,0.02187,0.17332188733221202,0.19109253507742635,0.8681914894826801,0.019516337811773938,0.6905110610198586,0.06338806338806338,0.0875347934415483,0.17513719453450718,0.018297,0.8935392573612254,0.353081,0.136044,0.542948,1.0,50618.0,0.479335,0.02187,0.148801,0.095921,0.8840930000000001,0.016615,0.770297,0.004876,0.034184,0.168155,0.018297,0.893886,0.353081,0.136044,0.542948,1.0,0.006912063540619674,0.32745044,0.7,0.17332188733221202,0.19109253507742635,0.8681914894826801,0.019516337811773938,0.6905110610198586,0.06338806338806338,0.0875347934415483,0.17513719453450718,0.018297,0.8935392573612254,0.353081,0.136044,0.542948,Y,50618.0,0.43153465846236005,0.7,0.148801,0.095921,0.8840930000000001,0.016615,0.770297,0.004876,0.034184,0.168155,0.018297,0.893886,0.353081,0.136044,0.542948,Y,0.02363896369934082,N,1.0,N
0,0.006912063540619674,0.4062484030338647,0.02187,0.17332188733221202,0.19109253507742635,0.8681914894826801,0.019516337811773938,0.6905110610198586,0.06338806338806338,0.0875347934415483,0.17513719453450718,0.018297,0.8935392573612254,0.353081,0.136044,0.542948,1.0,50618.0,0.479335,0.02187,0.148801,0.095921,0.8840930000000001,0.016615,0.770297,0.004876,0.034184,0.168155,0.018297,0.893886,0.353081,0.136044,0.542948,1.0,0.006912063540619674,0.4062484030338647,0.8,0.17332188733221202,0.19109253507742635,0.8681914894826801,0.019516337811773938,0.6905110610198586,0.06338806338806338,0.0875347934415483,0.17513719453450718,0.018297,0.8935392573612254,0.281982,0.136044,0.542948,Y,50618.0,0.479335,0.8,0.148801,0.095921,0.8840930000000001,0.016615,0.770297,0.004876,0.034184,0.168155,0.018297,0.893886,0.281982,0.136044,0.542948,Y,0.023930788040161133,N,1.0,N
0,0.006912063540619674,0.4062484030338647,0.02187,0.17332188733221202,0.19109253507742635,0.8681914894826801,0.019516337811773938,0.6905110610198586,0.06338806338806338,0.0875347934415483,0.17513719453450718,0.018297,0.8935392573612254,0.353081,0.136044,0.542948,1.0,50618.0,0.479335,0.02187,0.148801,0.095921,0.8840930000000001,0.016615,0.770297,0.004876,0.034184,0.168155,0.018297,0.893886,0.353081,0.136044,0.542948,1.0,0.006912063540619674,0.4062484030338647,0.3,0.17332188733221202,0.19109253507742635,0.8681914894826801,0.019516337811773938,0.6905110610198586,0.06338806338806338,0.0875347934415483,0.5,0.018297,0.8935392573612254,0.353081,0.136044,0.542948,Y,50618.0,0.479335,0.3,0.148801,0.095921,0.8840930000000001,0.016615,0.770297,0.004876,0.034184,0.4800665,0.018297,0.893886,0.353081,0.136044,0.542948,Y,0.023191213607788086,N,1.0,N
0,0.006912063540619674,0.4062484030338647,0.02187,0.17332188733221202,0.19109253507742635,0.8681914894826801,0.019516337811773938,0.6905110610198586,0.06338806338806338,0.0875347934415483,0.17513719453450718,0.018297,0.8935392573612254,0.353081,0.136044,0.542948,1.0,50618.0,0.479335,0.02187,0.148801,0.095921,0.8840930000000001,0.016615,0.770297,0.004876,0.034184,0.168155,0.018297,0.893886,0.353081,0.136044,0.542948,1.0,0.006912063540619674,0.4062484030338647,0.02187,0.17332188733221202,0.19109253507742635,0.8681914894826801,0.019516337811773938,0.6905110610198586,0.06338806338806338,1.0,0.17513719453450718,0.018297,0.8935392573612254,0.353081,0.136044,0.542948,Y,50618.0,0.479335,0.02187,0.148801,0.095921,0.8840930000000001,0.016615,0.770297,0.004876,0.390519,0.168155,0.018297,0.893886,0.353081,0.136044,0.542948,Y,0.021792888641357422,N,1.0,N
